id,number,state,milestone,title,comments_count,labels_count,user_name,created_at,uploaded_at,closed_at
1368484320,45992,open,null,allow direct uploads to work within engines,1,2,pinzonjulian,2022-09-10T04:03:43Z,2022-09-10T05:02:23Z,
1368449903,45991,open,null,Add Enumerable#find_by,0,1,americodls,2022-09-10T01:21:11Z,2022-09-10T02:34:22Z,
1368385305,45990,closed,null,Use devcontainer features to install github CLI,0,0,rafaelfranca,2022-09-09T22:33:34Z,2022-09-09T22:52:21Z,2022-09-09T22:52:21Z
1368349321,45989,closed,null,"Corrected hyperlink address in help manual -h, -c option by removing the unnecessary bracket.",5,1,creaturenex,2022-09-09T21:33:36Z,2022-09-09T22:23:37Z,2022-09-09T22:15:06Z
1368343535,45988,closed,null,"Incorrect link present when using the help menu -h, under -c option.",1,0,creaturenex,2022-09-09T21:24:01Z,2022-09-09T21:37:32Z,2022-09-09T21:37:31Z
1368324310,45987,closed,null,Added ability to download `.eml` file for the email preview.,0,3,igorkasyanchuk,2022-09-09T21:04:56Z,2022-09-09T21:39:59Z,2022-09-09T21:39:59Z
1368309465,45986,closed,null,added Download EML file for email previews,0,2,igorkasyanchuk,2022-09-09T20:45:57Z,2022-09-09T21:04:10Z,2022-09-09T21:04:06Z
1368256645,45985,closed,null,Extract annotations using a parser for Ruby files,0,1,kddnewton,2022-09-09T19:47:28Z,2022-09-09T20:07:29Z,2022-09-09T20:07:29Z
1368144421,45984,open,null,Cannot Eager Load has_many :through Relationships with custom scope,0,0,dcorrigan,2022-09-09T17:47:35Z,2022-09-09T17:47:35Z,
1368057899,45983,open,null,ApplicationTests::TestRunnerTest#test_load_fixtures_when_running_test_suites fails with Ruby 3.2.0.preview2,0,1,yahonda,2022-09-09T16:27:15Z,2022-09-09T16:27:27Z,
1367933102,45982,open,null,Move InternalMetadata to an independent object,0,2,eileencodes,2022-09-09T14:42:21Z,2022-09-09T20:05:41Z,
1367928986,45981,closed,null,Mysql2Adapter remove reference to closed connection,4,1,casperisfine,2022-09-09T14:39:11Z,2022-09-09T15:16:16Z,2022-09-09T14:51:37Z
1367686128,45980,open,null,add documentation for assocation scope block with owner argument,1,1,braindeaf,2022-09-09T11:21:49Z,2022-09-09T13:24:34Z,
1367627360,45979,closed,null,Support prerelease rubies in Gemfile template,1,1,deivid-rodriguez,2022-09-09T10:31:36Z,2022-09-09T19:44:19Z,2022-09-09T19:44:19Z
1367291822,45978,closed,null,Replace hardcoded 'ImageMagick' with generic 'variant processor' in Guides,0,1,Zhong-z,2022-09-09T05:04:03Z,2022-09-09T13:11:24Z,2022-09-09T13:11:24Z
1367099614,45977,closed,null,Add `:locals` to ActionView rendering instrumentation,0,2,aarongough,2022-09-08T23:43:06Z,2022-09-09T21:16:49Z,2022-09-09T19:45:42Z
1367075969,45976,closed,null,Add italic and underline support to `ActiveSupport::LogSubscriber#color`,0,2,gmcgibbon,2022-09-08T23:01:06Z,2022-09-10T04:43:52Z,2022-09-10T04:43:50Z
1367022907,45975,closed,null,Delegate application record generator description to orm hooked generator.,0,2,gmcgibbon,2022-09-08T21:47:36Z,2022-09-09T16:32:34Z,2022-09-09T16:32:31Z
1367009642,45974,closed,null,Improve plugin generator docs,0,1,gmcgibbon,2022-09-08T21:30:14Z,2022-09-10T03:40:48Z,2022-09-10T03:40:45Z
1367004689,45973,closed,null,Improve app generator docs,0,1,gmcgibbon,2022-09-08T21:25:08Z,2022-09-09T21:03:40Z,2022-09-09T21:03:38Z
1366983804,45972,closed,null,"Revert ""Replace `method_source` gem with stdlib equivalent""",0,1,rafaelfranca,2022-09-08T21:01:22Z,2022-09-08T21:21:46Z,2022-09-08T21:21:45Z
1366953877,45971,closed,null,"improve ""in_order_of"" to allow string column name",2,5,igorkasyanchuk,2022-09-08T20:32:40Z,2022-09-09T20:25:01Z,2022-09-09T19:39:34Z
1366644511,45970,closed,null,Add RDoc for ActiveRecord::Result#cast_values,1,1,mechnicov,2022-09-08T16:25:41Z,2022-09-08T16:32:53Z,2022-09-08T16:30:06Z
1366628146,45969,open,null,Update documentation to prevent confusion on the stub going back automatically,0,1,albertski,2022-09-08T16:12:14Z,2022-09-08T16:16:43Z,
1366388630,45968,closed,null,Fix typo in :active_record_suppressor_registry symbol,2,1,gabrielso,2022-09-08T13:55:50Z,2022-09-08T14:25:45Z,2022-09-08T14:25:40Z
1366038829,45967,open,null,Inconsistent update of timestamps while updating associations with *_ids=,0,1,matthee,2022-09-08T10:51:09Z,2022-09-09T03:10:33Z,
1365882892,45966,closed,null,Enable `Minitest/AssertRaisesWithRegexpArgument` cop,0,0,koic,2022-09-08T09:25:14Z,2022-09-08T09:45:57Z,2022-09-08T09:43:53Z
1365815866,45965,closed,null,Enable `Minitest/AssertRaisesWithRegexpArgument` cop,0,2,koic,2022-09-08T08:47:33Z,2022-09-08T09:11:05Z,2022-09-08T09:10:07Z
1365568327,45964,closed,null,"Fix ServerTiming in Threads, use single subscriber ",0,1,jhawthorn,2022-09-08T05:47:00Z,2022-09-09T17:20:18Z,2022-09-09T17:20:18Z
1365316408,45963,closed,null,Make contributing guide consistent about bug fixes [ci skip],0,1,skipkayhil,2022-09-07T23:50:09Z,2022-09-08T21:16:37Z,2022-09-08T14:35:04Z
1365168225,45962,closed,null,Fix loading records with encrypted attributes defined on columns with default values,1,1,fatkodima,2022-09-07T20:48:15Z,2022-09-08T14:33:33Z,2022-09-08T08:46:18Z
1365061334,45961,closed,null,Make connection_pool_list take an explicit argument,0,1,eileencodes,2022-09-07T18:49:32Z,2022-09-07T19:15:52Z,2022-09-07T19:15:48Z
1364924787,45960,closed,null,Encrypted values for default values in test fixures do not work,0,3,gjtorikian,2022-09-07T16:34:59Z,2022-09-08T08:46:19Z,2022-09-08T08:46:19Z
1364232810,45959,open,null,JSON field not saving data with symbol : and it's saving with arrow =>,1,2,sajjadmurtaza,2022-09-07T07:40:12Z,2022-09-08T07:23:26Z,
1364025826,45958,open,null,WIP: Add a cache per-request partial lookup cache to lookup context,0,1,jhawthorn,2022-09-07T03:07:13Z,2022-09-07T07:19:06Z,
1363996967,45957,closed,null,Make ActionView::PathSet immutable,0,1,jhawthorn,2022-09-07T02:14:41Z,2022-09-07T18:41:51Z,2022-09-07T18:40:54Z
1363961129,45956,closed,null,ActionDispatch::Cookies json deserializer discards marshal dumps,0,2,nbcraft,2022-09-07T01:06:07Z,2022-09-09T23:54:58Z,2022-09-09T22:14:04Z
1363905513,45955,closed,null,Fix grammatical issue,2,2,gjtorikian,2022-09-06T23:16:00Z,2022-09-09T19:06:31Z,2022-09-09T17:49:45Z
1363869828,45954,open,null,Extract h1 headings from ActionText content,0,1,equivalent,2022-09-06T22:14:16Z,2022-09-07T09:49:57Z,
1363777199,45953,closed,null,Update redis and resque,0,1,byroot,2022-09-06T20:26:09Z,2022-09-07T17:35:38Z,2022-09-07T17:35:34Z
1363537361,45952,closed,null,Add ability to run only before/around/after callbacks in run_callbacks,4,1,Trevor-Whitaker,2022-09-06T16:27:35Z,2022-09-08T16:51:46Z,2022-09-08T16:51:46Z
1363185876,45951,closed,null,Fix ActiveSupport::CurrentAttributes for Ruby 3,0,1,vojtad,2022-09-06T12:11:21Z,2022-09-06T13:14:44Z,2022-09-06T13:14:44Z
1363069820,45950,open,null,Add puma app server to Gemfile in order to start test/dummy,1,1,donapieppo,2022-09-06T10:32:04Z,2022-09-10T01:03:29Z,
1362899537,45949,open,null,ActionText::Attachable#as_json override is breaking ActiveStorage::Blob#as_json when blob is not persisted,0,0,balbesina,2022-09-06T08:26:39Z,2022-09-06T08:26:39Z,
1362482882,45948,closed,null,Improve `word_wrap` performance,6,1,jonathanhefner,2022-09-05T21:31:19Z,2022-09-07T17:05:02Z,2022-09-07T17:04:58Z
1362469023,45947,closed,null,Expand `word_wrap` test coverage,0,1,jonathanhefner,2022-09-05T21:07:53Z,2022-09-05T21:26:42Z,2022-09-05T21:26:42Z
1361974456,45946,open,null,[ci-skip] Add a new Rails guide page for Error Reporter,2,1,st0012,2022-09-05T13:28:51Z,2022-09-07T13:54:40Z,
1361880835,45945,closed,null,Disable prepared_statements by default for mysql2 adapter,0,1,ilianah,2022-09-05T12:36:06Z,2022-09-09T15:40:49Z,2022-09-09T15:40:49Z
1361594925,45944,closed,null,Add puma app server to Gemfile in order to start test/dummy,0,1,donapieppo,2022-09-05T08:36:53Z,2022-09-06T09:57:29Z,2022-09-06T09:57:29Z
1361477047,45943,open,null,Reset AR::Relation in bulk insert and upsert methods,0,1,quadule,2022-09-05T06:43:31Z,2022-09-05T06:43:34Z,
1361213257,45942,closed,null,Replace rstrip with chomp!(break_sequence) in word_wrap,2,1,maxim,2022-09-04T17:54:05Z,2022-09-05T21:02:53Z,2022-09-05T21:02:49Z
1361175243,45941,open,null,Added `blob_url` to the response of direct uploads API,0,1,AbhayVAshokan,2022-09-04T15:06:23Z,2022-09-04T15:13:36Z,
1361068466,45940,closed,null,Add workflow for updating license years,0,0,tenshiAMD,2022-09-04T07:29:47Z,2022-09-06T20:50:12Z,2022-09-06T20:16:05Z
1360876688,45939,open,null,Validations aren't inherited from base model if child is called before validation declaration,3,1,Exterm1nate,2022-09-03T14:46:42Z,2022-09-08T07:26:36Z,
1360804150,45938,closed,null,The description of `--api` option doesn't make sense,1,1,ttanimichi,2022-09-03T09:10:46Z,2022-09-06T04:03:34Z,2022-09-05T22:26:10Z
1360779604,45937,open,null,Add strict table mode (by default) to sqlite adapter,0,1,jrz,2022-09-03T07:01:02Z,2022-09-08T07:30:35Z,
1360726403,45936,closed,null,The description of `force_plural` doesn't make sense,1,1,ttanimichi,2022-09-03T02:11:35Z,2022-09-06T04:03:42Z,2022-09-05T22:07:31Z
